no,category,brand,name,price,gender,color_family,link,list_image
2,Hand Bags,Hersbags,Claire Bag H57B,Rp 740.000,female,black,https://www.zalora.co.id/hersbags-claire-bag-h57b-black-1869545.html,http://static.id.zalora.net/p/hersbags-8949-5459681-1.jpg|http://static.id.zalora.net/p/hersbags-8950-5459681-2.jpg|http://static.id.zalora.net/p/hersbags-8950-5459681-3.jpg|http://static.id.zalora.net/p/hersbags-8951-5459681-4.jpg|http://static.id.zalora.net/p/hersbags-8951-5459681-5.jpg|http://static.id.zalora.net/p/hersbags-0342-5459681-6.jpg|
3,Hand Bags,PALOMINO,Soraya Bag,Rp 918.000,female,beige,https://www.zalora.co.id/palomino-soraya-bag-beige-2106010.html,http://static.id.zalora.net/p/palomino-2041-0106012-1.jpg|http://static.id.zalora.net/p/palomino-2042-0106012-2.jpg|http://static.id.zalora.net/p/palomino-2043-0106012-3.jpg|http://static.id.zalora.net/p/palomino-2043-0106012-4.jpg|http://static.id.zalora.net/p/palomino-2044-0106012-5.jpg|http://static.id.zalora.net/p/palomino-1181-0106012-6.jpg|
4,Hand Bags,Phillipe Jourdan,Oldwyn,Rp 1.099.000,female,black,https://www.zalora.co.id/phillipe-jourdan-oldwyn-black-2119968.html,http://static.id.zalora.net/p/phillipe-jourdan-0936-8699112-1.jpg|http://static.id.zalora.net/p/phillipe-jourdan-0936-8699112-2.jpg|http://static.id.zalora.net/p/phillipe-jourdan-0937-8699112-3.jpg|http://static.id.zalora.net/p/phillipe-jourdan-0937-8699112-4.jpg|http://static.id.zalora.net/p/phillipe-jourdan-0938-8699112-5.jpg|http://static.id.zalora.net/p/phillipe-jourdan-0812-8699112-6.jpg|
5,Hand Bags,Gobelini,Marylin Satchel,Rp 2.780.000,female,navy,https://www.zalora.co.id/gobelini-marylin-satchel-navy-1814557.html,http://static.id.zalora.net/p/gobelini-8331-7554181-1.jpg|http://static.id.zalora.net/p/gobelini-8340-7554181-2.jpg|http://static.id.zalora.net/p/gobelini-8348-7554181-3.jpg|http://static.id.zalora.net/p/gobelini-8355-7554181-4.jpg|http://static.id.zalora.net/p/gobelini-8362-7554181-5.jpg|http://static.id.zalora.net/p/gobelini-6294-7554181-6.jpg|
6,Hand Bags,BELLEZZA,Aurelia Bag,Rp 899.000,female,black|grey,https://www.zalora.co.id/bellezza-aurelia-bag-black-grey-2138376.html,http://static.id.zalora.net/p/bellezza-2836-6738312-1.jpg|http://static.id.zalora.net/p/bellezza-2837-6738312-2.jpg|http://static.id.zalora.net/p/bellezza-2837-6738312-3.jpg|http://static.id.zalora.net/p/bellezza-2838-6738312-4.jpg|http://static.id.zalora.net/p/bellezza-2838-6738312-5.jpg|http://static.id.zalora.net/p/bellezza-8273-6738312-6.jpg|
7,Hand Bags,Hersbags,Molly H125Bn,Rp 630.000,female,brown,https://www.zalora.co.id/hersbags-molly-h125bn-brown-2266960.html,http://static.id.zalora.net/p/hersbags-5225-0696622-1.jpg|http://static.id.zalora.net/p/hersbags-5226-0696622-2.jpg|http://static.id.zalora.net/p/hersbags-5226-0696622-3.jpg|http://static.id.zalora.net/p/hersbags-5227-0696622-4.jpg|http://static.id.zalora.net/p/hersbags-5227-0696622-5.jpg|http://static.id.zalora.net/p/hersbags-6915-0696622-6.jpg|
8,Hand Bags,Obermain,Roslind (M),Rp 999.000,female,multi,https://www.zalora.co.id/obermain-roslind-m-multi-2342675.html,http://static.id.zalora.net/p/obermain-1379-5762432-1.jpg|http://static.id.zalora.net/p/obermain-1380-5762432-2.jpg|http://static.id.zalora.net/p/obermain-1381-5762432-3.jpg|http://static.id.zalora.net/p/obermain-1383-5762432-4.jpg|http://static.id.zalora.net/p/obermain-1384-5762432-5.jpg|
9,Hand Bags,Wilia,Ainuola,Rp 599.000,female,pink,https://www.zalora.co.id/wilia-ainuola-pink-2258963.html,http://static.id.zalora.net/p/wilia-9164-3698522-1.jpg|http://static.id.zalora.net/p/wilia-9164-3698522-2.jpg|http://static.id.zalora.net/p/wilia-9165-3698522-3.jpg|http://static.id.zalora.net/p/wilia-9165-3698522-4.jpg|http://static.id.zalora.net/p/wilia-9166-3698522-5.jpg|http://static.id.zalora.net/p/wilia-6982-3698522-6.jpg|
10,Hand Bags,Pierre Cardin,Pc Trend Bag Blk,Rp 1.099.000,female,black,https://www.zalora.co.id/pierre-cardin-pc-trend-bag-blk-black-2323236.html,http://static.id.zalora.net/p/pierre-cardin-3765-6323232-1.jpg|http://static.id.zalora.net/p/pierre-cardin-3765-6323232-2.jpg|http://static.id.zalora.net/p/pierre-cardin-3766-6323232-3.jpg|http://static.id.zalora.net/p/pierre-cardin-3767-6323232-4.jpg|http://static.id.zalora.net/p/pierre-cardin-3767-6323232-5.jpg|
11,Hand Bags,HUER,Yiba Satchel Bag With 2 Interchangeable Strap,Rp 949.000,female,pink,https://www.zalora.co.id/huer-yiba-satchel-bag-with-2-interchangeable-strap-pink-2361706.html,http://static.id.zalora.net/p/huer-4335-6071632-1.jpg|http://static.id.zalora.net/p/huer-4336-6071632-2.jpg|http://static.id.zalora.net/p/huer-4336-6071632-3.jpg|http://static.id.zalora.net/p/huer-4337-6071632-4.jpg|http://static.id.zalora.net/p/huer-4338-6071632-5.jpg|
